model,age,odo,fuel,color,price
그랜저,156,122541,가솔린,white,5.860786223465865
말리부,99,94269,가솔린,black,6.7226297948554485
아반떼,104,190000,가솔린,white,6.19644412779452
G80,65,147731,가솔린,black,7.799753318287247
쏘나타,96,288112,hybrid,gray,6.255750041753367
코란도,81,119000,디젤,gray,6.7226297948554485
그랜저,40,35757,가솔린,white,8.029758520440822
K5,24,12117,LPG,white,8.003363058629947
크루즈,76,52684,가솔린,black,6.660575149839686
그랜저,53,59000,LPG,gray,7.804251383528112
K3,64,54476,가솔린,gray,7.0825485693553
그랜저,59,28306,가솔린,black,7.820439515262181
K5,59,34636,가솔린,gray,7.409136443920128
3시리즈,90,77000,디젤,white,7.565793282428515
아반떼,121,137000,가솔린,black,6.493753839851687
코란도,96,126082,디젤,black,6.68586094706836
A6,174,171680,가솔린,gray,5.993961427306569
그랜저,59,117000,hybrid,black,7.580699752224563
쏘나타,108,130611,LPG,black,6.594413459749778
아반떼,65,32477,가솔린,white,7.223295679562314
K3,34,70619,가솔린,white,7.467942332285852
3시리즈,111,166951,디젤,white,7.00397413672268
K3,88,100117,디젤,gray,6.825460036255307
G80,24,21675,가솔린,gray,8.83927669058535
그랜저,81,67243,가솔린,other,7.293697720601438
아반떼,74,74000,가솔린,white,7.155396301896734
G80,62,89697,가솔린,black,8.013343181386672
그랜저,122,127665,가솔린,black,6.836259277277067
5시리즈,49,92470,가솔린,black,8.517393171418904
3시리즈,70,117600,가솔린,white,7.80016307039296
A6,81,104311,디젤,gray,7.766840537085513
쏘나타,95,70209,가솔린,gray,7.237778191923443
K5,136,118905,LPG,white,6.792344427470809
E클래스,130,110000,가솔린,white,7.074116816197362
그랜저,98,109491,가솔린,gray,7.107425474110705
아반떼,64,23738,가솔린,gray,7.396335293800808
그랜저,65,98000,LPG,black,7.1316985104669115
A4,104,190000,디젤,white,6.85751406254539
K7,42,110415,LPG,black,7.479299637782834
그랜저,85,72334,가솔린,white,7.307202314764738
아반떼,60,67278,가솔린,white,7.208600337960199
A7,107,205347,디젤,black,7.507141079727608
말리부,60,77790,가솔린,black,7.259116128097101
K3,38,52588,가솔린,gray,7.575584651557793
7시리즈,80,102709,디젤,gray,8.202756381655638
5시리즈,139,166297,디젤,gray,7.047517221357296
파사트,78,75445,디젤,black,7.201170883281678
K7,92,118000,hybrid,gray,7.147559271189454
티볼리,53,70446,디젤,white,7.313886831633462
파사트,95,118981,디젤,gray,7.00397413672268
티볼리,27,17885,가솔린,white,7.576097340623111
코란도,100,140000,디젤,black,7.215975002651466
그랜저,46,81360,가솔린,black,7.544861068658458
그랜저,77,102796,hybrid,gray,7.427144133408616
A6,122,68028,가솔린,gray,7.3658128372094716
쏘나타,87,126598,가솔린,black,6.769641976852503
5시리즈,87,185662,디젤,gray,7.2868764117507
쏘나타,74,97902,가솔린,white,7.280008252884188
E클래스,142,194825,가솔린,white,6.710523109452428
G80,50,81248,가솔린,black,8.1886891244442
그랜저,113,190019,LPG,black,6.85751406254539
쏘나타,136,195862,가솔린,gray,6.19644412779452
아반떼,83,52934,가솔린,gray,6.898714534329988
S클래스,86,109015,디젤,gray,8.495152060539358
코란도,86,46846,디젤,white,7.186144304522325
A6,126,119000,가솔린,gray,7.1631723908466425
G80,64,31881,가솔린,black,8.1886891244442
코란도,74,185000,디젤,white,7.02197642307216
아반떼,77,98663,디젤,gray,7.170888478512505
K5,80,50520,LPG,white,6.68586094706836
5시리즈,49,118764,가솔린,gray,8.229777750081887
G80,44,74357,가솔린,black,8.02322468471667
코란도,99,240069,디젤,white,6.255750041753367
C클래스,83,37456,디젤,gray,7.901377353792616
S클래스,88,206061,가솔린,black,8.412054873292933
아반떼,46,36389,가솔린,gray,7.1631723908466425
아반떼,35,73960,가솔린,white,7.346655163176539
K5,131,73000,가솔린,gray,6.066108090103747
A4,109,154883,디젤,black,6.836259277277067
G70,43,35850,가솔린,gray,7.989899374942939
아반떼,52,46302,가솔린,black,7.237778191923443
아반떼,68,28691,가솔린,white,7.2305631534092925
5시리즈,57,56034,가솔린,white,8.486940148245216
그랜저,72,135038,LPG,white,7.1631723908466425
K5,97,32502,가솔린,white,7.259116128097101
K7,126,124915,가솔린,white,6.710523109452428
아반떼,137,154039,가솔린,white,6.154858094016418
K7,131,141487,가솔린,black,7.0909098220799835
아반떼,55,57597,가솔린,white,7.193685818395112
쏘나타,45,25922,LPG,gray,7.450660796211539
S클래스,66,261020,가솔린,black,8.412054873292933
K5,86,87299,가솔린,white,7.223295679562314
쏘나타,33,19546,가솔린,white,7.804251383528112
아반떼,68,161769,가솔린,white,6.7464121285733745
그랜저,133,126700,가솔린,gray,6.633318433280377
K7,99,141642,가솔린,white,6.877296071497429
C클래스,77,148688,가솔린,white,7.67368812926773
K5,98,190000,LPG,black,6.3818160174060985
5시리즈,44,35989,가솔린,gray,8.605204068738951
티볼리,41,71861,디젤,white,7.24422751560335
아반떼,60,67623,가솔린,white,6.8885724595653635
5시리즈,172,107849,가솔린,gray,6.274762021241939
티볼리,51,50973,디젤,white,7.039660349862076
그랜저,33,26922,hybrid,gray,7.979681302387741
쏘나타,50,66625,가솔린,black,7.43307534889858
그랜저,61,78000,가솔린,white,7.779466967458324
K5,7,54,가솔린,white,8.003363058629947
G80,29,6137,가솔린,black,8.186185994226083
K5,57,40404,가솔린,gray,7.333676395657684
A4,93,132333,디젤,white,7.065613363597717
K3,107,43662,가솔린,white,7.00397413672268
K7,62,68690,가솔린,black,7.696667081526462
코란도,83,193470,디젤,black,6.311734809152915
티볼리,84,97000,가솔린,white,7.00397413672268
티볼리,82,125674,가솔린,white,6.985641817639208
골프,94,86059,디젤,gray,7.266128779556451
골프,87,159269,디젤,white,6.792344427470809
K7,61,134378,가솔린,black,7.450660796211539
그랜저,128,141965,가솔린,black,6.594413459749778
G80,22,9600,가솔린,gray,8.592486175451668
그랜저,71,87682,가솔린,white,7.3783837129967145
코란도,90,144511,디젤,white,6.7580945044277305
K7,28,29963,가솔린,black,7.989899374942939
아반떼,79,67000,가솔린,gray,6.985641817639208
그랜저,50,108083,LPG,black,7.414572881350589
쏘나타,149,101780,가솔린,black,6.3818160174060985
K7,108,192000,가솔린,gray,6.594413459749778
그랜저,63,115000,디젤,black,7.479299637782834
G80,68,60000,가솔린,black,7.8632667240095735
그랜저,121,131351,가솔린,white,6.957497370876951
그랜저,50,93623,가솔린,other,7.372118028337787
그랜저,74,67148,가솔린,white,7.346655163176539
아반떼,76,48775,가솔린,white,7.259116128097101
K7,66,34844,가솔린,black,7.749753406274437
아반떼,33,88660,LPG,white,7.1316985104669115
티볼리,32,14000,디젤,white,7.467942332285852
쏘나타,101,128807,LPG,gray,6.55250788703459
K7,64,90860,가솔린,black,7.5126175446745105
아반떼,61,50957,가솔린,white,7.313220387090301
아반떼,88,145960,디젤,white,6.3818160174060985
A4,135,81955,가솔린,gray,6.7464121285733745
코란도,68,49101,디젤,black,7.139660335964919
7시리즈,226,180000,가솔린,black,6.53813982376767
K5,32,78000,가솔린,black,7.438971592395862
아반떼,70,117998,가솔린,white,6.7580945044277305
K5,103,68085,가솔린,gray,6.621405651764134
S클래스,134,214517,디젤,black,7.467942332285852
쏘나타,86,161234,가솔린,black,6.85751406254539
E클래스,59,112623,디젤,black,8.340694647925071
S클래스,94,66830,가솔린,black,8.756367559802975
쏘나타,137,232002,LPG,white,5.968707559985366
K7,69,45437,가솔린,black,7.650168700845001
그랜저,50,79920,디젤,black,7.692113339595466
말리부,69,58269,가솔린,gray,7.1316985104669115
SM6,42,24272,가솔린,white,7.576097340623111
쏘나타,64,89917,LPG,white,7.02197642307216
그랜저,58,64932,LPG,black,7.616283561580385
아반떼,69,125000,가솔린,white,6.898714534329988
5시리즈,59,99525,가솔린,gray,8.224431573221159
그랜저,54,178059,가솔린,black,7.372118028337787
쏘나타,87,80000,가솔린,black,7.057036981697891
쏘나타,50,126876,LPG,black,7.155396301896734
아반떼,16,10000,가솔린,gray,7.6783263565068856
7시리즈,104,177145,디젤,gray,7.762596048540069
골프,87,92495,디젤,gray,7.155396301896734
코란도,62,61485,디젤,black,7.601402334583733
티볼리,12,2010,가솔린,white,7.576097340623111
티볼리,33,15653,가솔린,white,7.403061091090091
K5,91,66202,가솔린,black,6.792344427470809
K5,33,35397,가솔린,white,7.549609165154532
K7,73,143000,가솔린,gray,7.372118028337787
아반떼,105,123458,가솔린,black,6.364750756851911
아반떼,97,110000,디젤,gray,6.7464121285733745
코란도,119,290000,디젤,gray,6.380122536899765
쏘나타,62,98093,LPG,black,6.90875477931522
C클래스,144,103911,가솔린,white,6.878326468291325
K7,137,127051,가솔린,black,6.478509642208569
그랜저,63,124963,가솔린,black,7.427144133408616
A4,91,76709,디젤,white,7.375255778009754
코란도,78,154002,디젤,black,6.90875477931522
E클래스,103,201807,디젤,gray,7.456454555176209
아반떼,58,69917,가솔린,gray,7.147559271189454
K5,24,5038,가솔린,gray,8.026170194946426
그랜저,37,103457,가솔린,black,7.600902459542082
말리부,67,54380,가솔린,white,7.1631723908466425
G80,65,95917,가솔린,black,7.923348211930154
그랜저,25,5700,LPG,gray,8.316544717929398
K3,63,92664,가솔린,gray,7.039660349862076
그랜저,116,95274,가솔린,black,7.048386408721883
아반떼,97,117233,가솔린,black,6.608000625296087
아반떼,101,185000,가솔린,white,6.364750756851911
K7,46,20441,가솔린,black,7.9269635448629785
아반떼,84,105000,가솔린,white,6.7226297948554485
말리부,32,22914,가솔린,black,7.396948602621014
K5,141,181947,가솔린,black,6.373319789577012
K3,97,101116,가솔린,gray,6.523562306149512
쏘나타,57,90252,LPG,black,7.346655163176539
아반떼,20,41176,가솔린,white,7.875119281040293
K5,105,150621,가솔린,white,6.634633357861686
3시리즈,18,7701,가솔린,white,8.453401058328458
쏘나타,91,81817,가솔린,gray,7.340186835320115
그랜저,50,89734,디젤,black,7.523481312573497
3시리즈,71,133381,디젤,white,7.403061091090091
아반떼,134,82317,가솔린,gray,6.523562306149512
쏘나타,133,36569,LPG,black,6.523562306149512
그랜저,68,49000,hybrid,black,7.490529402060711
SM6,40,22702,가솔린,white,7.340186835320115
쏘나타,33,25679,가솔린,gray,7.576097340623111
티볼리,84,118921,가솔린,gray,6.957497370876951
아반떼,58,82639,가솔린,white,7.1631723908466425
그랜저,26,18417,가솔린,black,8.101980731853192
그랜저,154,114921,가솔린,black,5.8888779583328805
말리부,39,60399,가솔린,black,7.438383530044307
쏘나타,92,121151,LPG,white,6.825460036255307
C클래스,143,157767,가솔린,black,6.673297967767654
그랜저,74,121659,LPG,white,7.313220387090301
그랜저,56,43000,가솔린,black,7.972810784121404
그랜저,62,87000,가솔린,gray,7.67368812926773
G80,49,52593,가솔린,black,8.174984532943087
K5,40,42899,디젤,white,7.327123292259293
C클래스,61,72097,가솔린,black,7.955074273262696
아반떼,112,80723,가솔린,white,6.594413459749778
S클래스,46,62138,디젤,black,9.153875834995056
티구안,101,67874,디젤,white,7.280008252884188
쏘나타,184,50221,가솔린,gray,6.066108090103747
G80,64,30903,가솔린,black,8.131824785007195
G80,62,69869,가솔린,gray,8.412054873292933
아반떼,49,41284,가솔린,black,7.237778191923443
쏘나타,92,160000,LPG,white,6.493753839851687
5시리즈,122,149341,디젤,gray,7.24422751560335
7시리즈,104,118447,가솔린,black,8.006367567650246
말리부,27,7849,가솔린,black,7.804251383528112
K5,73,94000,LPG,white,7.0825485693553
G80,57,152711,가솔린,gray,7.844240718141811
쏘나타,171,175000,LPG,black,5.638354669333745
A7,86,123000,디젤,gray,7.83241092718792
E클래스,92,43241,가솔린,white,8.013343181386672
K5,20,8000,가솔린,black,7.9966538754626075
7시리즈,150,220747,가솔린,gray,7.02197642307216
K5,129,187813,hybrid,white,6.594413459749778
쏘나타,80,130000,가솔린,white,7.1316985104669115
쏘나타,127,43690,가솔린,gray,6.710523109452428
3시리즈,56,87048,디젤,white,7.908754738783246
티구안,20,23785,디젤,black,8.250620082174692
그랜저,58,64500,가솔린,black,7.687538766201629
7시리즈,65,141358,가솔린,black,8.562357743370612
쏘나타,98,72365,가솔린,gray,7.065613363597717
크루즈,70,46000,디젤,white,6.792344427470809
K7,79,78980,hybrid,gray,7.523481312573497
아반떼,69,78565,가솔린,black,7.409136443920128
쏘나타,34,13000,가솔린,gray,7.7142311448490855
티볼리,54,116639,디젤,white,7.057036981697891
K7,20,11969,LPG,white,8.160803920954665
K5,99,129000,가솔린,gray,6.734591659972948
C클래스,161,77945,가솔린,white,6.802394763324311
E클래스,78,63000,가솔린,gray,8.003028666384733
K7,64,201674,LPG,black,7.307202314764738
A7,94,164148,디젤,white,7.779466967458324
K5,68,197000,LPG,black,6.836259277277067
말리부,68,124583,가솔린,white,7.266128779556451
아반떼,81,25000,가솔린,gray,6.928537818164665
크루즈,94,82216,가솔린,black,6.311734809152915
K7,37,25000,가솔린,gray,7.8826922062890254
K7,143,69466,가솔린,black,6.68586094706836
아반떼,58,139000,가솔린,white,6.792344427470809
쏘나타,59,69530,LPG,white,7.1631723908466425
티볼리,66,119520,디젤,white,6.957497370876951
그랜저,69,72472,hybrid,black,7.456454555176209
그랜저,57,80390,가솔린,black,7.719129840906732
그랜저,98,52819,가솔린,black,7.346655163176539
K5,69,49000,가솔린,gray,7.237778191923443
쏘나타,134,140523,가솔린,white,6.364750756851911
K3,10,1598,가솔린,gray,7.762596048540069
그랜저,60,81242,가솔린,black,7.576097340623111
티구안,110,135767,디젤,white,6.994849985833071
K7,60,83302,LPG,gray,7.523481312573497
S클래스,156,153953,디젤,black,7.280008252884188
그랜저,50,72699,가솔린,gray,7.732369222284388
그랜저,56,51000,가솔린,gray,7.645397699428633
골프,72,100855,디젤,gray,7.123672785204607
크루즈,59,87752,가솔린,white,6.8885724595653635
골프,144,194317,디젤,white,6.19644412779452
A6,71,87778,디젤,gray,7.937731775260109
말리부,46,46587,가솔린,white,7.456454555176209
SM6,66,117415,디젤,black,6.836259277277067
티볼리,22,47535,가솔린,white,7.462214939768189
E클래스,110,83505,가솔린,gray,7.473637108496206
그랜저,200,121559,가솔린,gray,5.673323267171493
5시리즈,110,125926,가솔린,white,7.43307534889858
그랜저,60,93699,가솔린,black,7.427144133408616
A8,92,115000,디젤,black,8.229777750081887
코란도,69,31459,디젤,gray,7.456454555176209
A6,86,119000,디젤,white,7.692113339595466
코란도,108,104450,디젤,gray,6.523562306149512
K3,44,53566,가솔린,gray,7.259116128097101
쏘나타,119,193800,LPG,gray,6.431331081933479
그랜저,157,86863,가솔린,black,5.968707559985366
코란도,88,134000,디젤,white,6.673297967767654
G80,42,52000,가솔린,black,8.213652703029998
그랜저,106,73318,가솔린,other,7.3658128372094716
K7,140,125663,가솔린,gray,6.274762021241939
그랜저,26,101654,hybrid,gray,7.855932199718614
아반떼,129,120112,가솔린,white,6.364750756851911
쏘나타,84,73059,가솔린,gray,7.215975002651466
K7,43,76090,가솔린,black,7.5126175446745105
3시리즈,187,135424,가솔린,gray,6.274762021241939
그랜저,128,113000,가솔린,black,6.594413459749778
5시리즈,71,102223,디젤,black,7.937731775260109
7시리즈,73,185198,디젤,black,8.314097335405807
K7,21,40692,가솔린,white,8.229777750081887
C클래스,86,73566,가솔린,black,7.83241092718792
G80,41,48172,가솔린,gray,8.25608813381491
파사트,113,39565,가솔린,gray,7.074116816197362
G70,38,16917,가솔린,gray,8.291797105048733
아반떼,44,9525,가솔린,white,7.293697720601438
3시리즈,99,132701,디젤,white,7.266128779556451
아반떼,12,10058,가솔린,gray,7.828436359157585
티볼리,62,55750,디젤,white,7.327123292259293
그랜저,130,188559,가솔린,black,6.792344427470809
크루즈,129,63950,가솔린,white,6.373319789577012
그랜저,38,59000,가솔린,black,7.934155233536322
K7,66,70096,가솔린,gray,7.592366128519796
코란도,105,225000,디젤,white,6.154858094016418
코란도,73,124912,디젤,black,6.85751406254539
E클래스,102,84452,디젤,white,8.157943507105037
G80,45,53892,가솔린,black,8.423102268016642
티볼리,28,25000,가솔린,white,7.496097345175956
그랜저,54,96990,가솔린,gray,7.611347717403621
K3,112,124752,가솔린,black,6.53813982376767
A6,182,243038,가솔린,gray,6.111467339502679
5시리즈,108,204462,디젤,white,7.1316985104669115
쏘나타,61,67200,가솔린,black,7.155396301896734
G80,41,130069,가솔린,black,7.7706452341291765
티볼리,25,17928,가솔린,white,7.593877844605118
A6,79,149000,디젤,gray,7.550135342488429
그랜저,108,119481,가솔린,black,6.976348070447749
S클래스,184,130700,가솔린,black,7.0825485693553
K7,58,67000,LPG,black,7.576097340623111
쏘나타,186,106845,가솔린,white,5.638354669333745
쏘나타,68,88377,hybrid,white,7.560601162768557
5시리즈,34,23477,가솔린,white,8.361941906144946
A6,84,61767,디젤,black,8.000014093678072
K5,59,50950,hybrid,white,7.484930283289661
G80,61,37000,가솔린,black,7.9624156801210635
5시리즈,120,71754,가솔린,gray,7.640603826393634
크루즈,128,140090,디젤,black,6.154858094016418
3시리즈,83,48390,디젤,white,7.714677473800927
아반떼,98,139000,디젤,white,6.673297967767654
코란도,57,159132,디젤,black,7.208600337960199
K7,142,260000,가솔린,black,6.066108090103747
3시리즈,103,160000,디젤,white,7.208600337960199
3시리즈,74,98866,디젤,white,7.62608275807238
그랜저,54,61591,가솔린,gray,7.601402334583733
7시리즈,113,174253,가솔린,gray,7.7279755421055585
쏘나타,149,78557,LPG,black,6.476972362889683
G80,60,129338,가솔린,black,7.923348211930154
아반떼,48,64446,가솔린,black,7.1785454837637
그랜저,111,142360,LPG,white,7.030857476116121
5시리즈,43,47000,디젤,white,8.299285906897275
아반떼,76,70686,가솔린,white,7.170888478512505
쏘나타,80,134702,LPG,white,6.846943139585379
쏘나타,154,123651,가솔린,gray,5.831882477283517
그랜저,50,35833,hybrid,gray,7.919719760924575
K3,104,26300,가솔린,gray,6.976348070447749
K7,101,130000,LPG,black,6.994849985833071
크루즈,130,184000,가솔린,gray,5.673323267171493
아반떼,72,73000,가솔린,gray,6.898714534329988
그랜저,106,81487,가솔린,black,7.1631723908466425
K3,38,62000,가솔린,gray,7.208600337960199
티볼리,52,36075,디젤,white,7.408530566894626
K5,91,138265,LPG,gray,6.55250788703459
그랜저,59,103376,가솔린,white,7.595889917718538
K5,115,80001,가솔린,black,6.478509642208569
G80,55,44268,가솔린,white,8.003363058629947
K5,71,68148,가솔린,black,7.438383530044307
A6,83,195827,가솔린,gray,7.372118028337787
K7,121,109590,가솔린,white,6.710523109452428
K5,24,11778,가솔린,gray,7.937731775260109
G80,64,96000,가솔린,white,8.242756345714477
C클래스,30,20063,디젤,white,8.440528106480752
쏘나타,63,60000,디젤,gray,7.201170883281678
코란도,49,31186,디젤,white,7.353081920515432
아반떼,192,103832,가솔린,gray,5.968707559985366
K3,47,57996,가솔린,gray,7.346655163176539
그랜저,125,131012,가솔린,black,6.7580945044277305
A4,78,38501,디젤,white,7.496097345175956
그랜저,50,80322,가솔린,black,7.7102051944325325
그랜저,62,80586,LPG,gray,7.576097340623111
티볼리,56,98310,가솔린,gray,7.030857476116121
E클래스,105,77796,가솔린,white,7.8636512654486515
5시리즈,122,193301,가솔린,gray,6.966967138613983
쏘나타,136,177073,가솔린,black,6.154858094016418
그랜저,132,88000,가솔린,gray,6.957497370876951
그랜저,79,50166,hybrid,gray,7.43307534889858
K7,105,127488,LPG,black,7.02197642307216
K5,68,81368,가솔린,white,7.396948602621014
K3,40,60500,가솔린,black,7.3777589082278725
C클래스,47,34209,디젤,white,8.160518247477505
A4,122,135157,가솔린,black,6.431331081933479
E클래스,37,60000,가솔린,gray,8.535229553902337
아반떼,31,16046,가솔린,white,7.467942332285852
그랜저,157,109872,가솔린,black,5.860786223465865
티구안,134,107556,디젤,gray,6.825460036255307
코란도,79,80000,가솔린,gray,6.836259277277067
아반떼,98,23000,LPG,white,6.90875477931522
K5,60,78000,LPG,white,7.24422751560335
SM6,66,49865,가솔린,gray,7.450660796211539
말리부,106,66000,가솔린,white,6.608000625296087
아반떼,89,129745,가솔린,white,6.508769136971682
그랜저,114,133409,LPG,black,6.660575149839686
쏘나타,51,106147,LPG,black,7.0825485693553
